processes,l,time
1,2000,132.2500
1,2000,175.2500
1,2000,213.2500
1,2000,232.0000
1,2000,210.5000
1,2000,250.7500
1,2000,162.2500
1,2000,99.75000
1,2000,227.0000
1,2000,117.0000
1,3000,538.7500
1,3000,369.2500
1,3000,433.2500
1,3000,450.5000
1,3000,391.2500
1,3000,505.7500
1,3000,293.0000
1,3000,592.7500
1,3000,748.7500
1,3000,635.0000
1,4000,1198.250
1,4000,720.5000
1,4000,991.2500
1,4000,738.7500
1,4000,907.2500
1,4000,711.7500
1,4000,940.2500
1,4000,1003.750
1,4000,954.5000
1,4000,1530.500
1,5000,1340.000
1,5000,2504.750
1,5000,2671.000
1,5000,1785.750
1,5000,2177.500
1,5000,1670.750
1,5000,1834.750
1,5000,2785.000
1,5000,2860.000
1,5000,1386.500
2,2000,66.75000
2,2000,88.00000
2,2000,107.2500
2,2000,116.7500
2,2000,106.0000
2,2000,126.0000
2,2000,81.50000
2,2000,50.25000
2,2000,114.2500
2,2000,59.00000
2,3000,270.5000
2,3000,185.7500
2,3000,217.7500
2,3000,226.7500
2,3000,196.7500
2,3000,254.2500
2,3000,147.2500
2,3000,298.0000
2,3000,376.7500
2,3000,319.5000
2,4000,603.7500
2,4000,363.0000
2,4000,499.2500
2,4000,372.0000
2,4000,457.0000
2,4000,358.5000
2,4000,473.5000
2,4000,505.5000
2,4000,480.7500
2,4000,770.7500
2,5000,674.7500
2,5000,1261.250
2,5000,1345.000
2,5000,899.5000
2,5000,1096.750
2,5000,841.5000
2,5000,923.7500
2,5000,1403.250
2,5000,1440.500
2,5000,698.5000
4,2000,33.25000
4,2000,44.00000
4,2000,53.75000
4,2000,58.50000
4,2000,53.00000
4,2000,63.00000
4,2000,40.75000
4,2000,25.25000
4,2000,57.25000
4,2000,29.50000
4,3000,136.0000
4,3000,93.25000
4,3000,109.5000
4,3000,113.7500
4,3000,98.75000
4,3000,127.7500
4,3000,74.00000
4,3000,149.5000
4,3000,189.0000
4,3000,160.5000
4,4000,303.7500
4,4000,182.5000
4,4000,251.0000
4,4000,187.2500
4,4000,229.7500
4,4000,180.2500
4,4000,238.2500
4,4000,254.5000
4,4000,241.7500
4,4000,387.5000
4,5000,339.5000
4,5000,634.5000
4,5000,676.7500
4,5000,452.5000
4,5000,551.5000
4,5000,423.2500
4,5000,464.5000
4,5000,705.7500
4,5000,724.7500
4,5000,351.2500
8,2000,17.00000
8,2000,22.25000
8,2000,27.25000
8,2000,29.50000
8,2000,26.75000
8,2000,31.75000
8,2000,20.50000
8,2000,12.75000
8,2000,29.00000
8,2000,14.75000
8,3000,69.50000
8,3000,47.75000
8,3000,56.00000
8,3000,58.25000
8,3000,50.50000
8,3000,65.50000
8,3000,38.00000
8,3000,76.75000
8,3000,96.75000
8,3000,82.00000
8,4000,157.0000
8,4000,94.25000
8,4000,129.7500
8,4000,96.75000
8,4000,118.7500
8,4000,93.00000
8,4000,123.0000
8,4000,131.2500
8,4000,124.7500
8,4000,200.5000
8,5000,174.7500
8,5000,327.0000
8,5000,348.5000
8,5000,233.0000
8,5000,284.2500
8,5000,218.0000
8,5000,239.2500
8,5000,363.5000
8,5000,373.2500
8,5000,181.0000
16,2000,8.500000
16,2000,11.25000
16,2000,13.50000
16,2000,15.00000
16,2000,13.50000
16,2000,16.25000
16,2000,10.25000
16,2000,6.500000
16,2000,14.50000
16,2000,7.500000
16,3000,36.00000
16,3000,24.75000
16,3000,29.00000
16,3000,30.00000
16,3000,26.25000
16,3000,33.75000
16,3000,19.50000
16,3000,39.50000
16,3000,50.00000
16,3000,42.50000
16,4000,83.25000
16,4000,50.25000
16,4000,68.75000
16,4000,51.25000
16,4000,62.75000
16,4000,49.50000
16,4000,65.00000
16,4000,69.75000
16,4000,66.25000
16,4000,106.2500
16,5000,93.00000
16,5000,173.5000
16,5000,185.2500
16,5000,123.7500
16,5000,151.0000
16,5000,115.7500
16,5000,127.2500
16,5000,193.0000
16,5000,198.2500
16,5000,96.25000
32,2000,4.250000
32,2000,6.000000
32,2000,7.250000
32,2000,7.500000
32,2000,7.000000
32,2000,8.250000
32,2000,5.500000
32,2000,3.250000
32,2000,7.500000
32,2000,4.000000
32,3000,17.25000
32,3000,11.75000
32,3000,14.00000
32,3000,14.50000
32,3000,12.50000
32,3000,16.25000
32,3000,9.500000
32,3000,18.75000
32,3000,24.00000
32,3000,20.25000
32,4000,40.50000
32,4000,24.50000
32,4000,33.75000
32,4000,24.75000
32,4000,30.75000
32,4000,24.00000
32,4000,32.00000
32,4000,33.75000
32,4000,32.25000
32,4000,51.75000
32,5000,47.50000
32,5000,88.75000
32,5000,94.75000
32,5000,63.25000
32,5000,77.25000
32,5000,59.25000
32,5000,65.00000
32,5000,98.75000
32,5000,101.5000
32,5000,49.25000
64,2000,2.250000
64,2000,3.000000
64,2000,3.750000
64,2000,4.000000
64,2000,3.500000
64,2000,4.250000
64,2000,2.750000
64,2000,1.750000
64,2000,4.000000
64,2000,2.000000
64,3000,8.500000
64,3000,6.000000
64,3000,7.000000
64,3000,7.250000
64,3000,6.250000
64,3000,8.250000
64,3000,4.750000
64,3000,9.500000
64,3000,12.25000
64,3000,10.25000
64,4000,18.75000
64,4000,11.50000
64,4000,15.50000
64,4000,11.75000
64,4000,14.25000
64,4000,11.25000
64,4000,15.00000
64,4000,16.00000
64,4000,15.00000
64,4000,24.25000
64,5000,22.00000
64,5000,40.75000
64,5000,43.50000
64,5000,29.25000
64,5000,35.25000
64,5000,27.25000
64,5000,30.00000
64,5000,45.25000
64,5000,46.75000
64,5000,22.50000
